CodIPVA,FABRICANTE,CATEGORIA,MODELO/VERSÃO
0000000DC,CHEVROLET,CAMINHONETES/PICAPES,GM/ARB STYLLEN
0000000DN,MERCEDES-BENZ,CAMINHÕES/CAV. MECÂNICOS,M.BENZ/1728 TRUKAM CA
0000000OC,FORD,CAMINHONETES/PICAPES,I/FORD F150 4X4SC RAPTOR
0000000ON,BMW,AUTOMÓVEIS/UTILITÁRIOS,I/BMW M3 COUPE
0000007ON,SHINERAY,MOTOCICLETAS/SIMILARES,SHINERAY/SE2
0000010ON,SHINERAY,MOTOCICLETAS/SIMILARES,SHINERAY/SE3
0000031ON,VMOTO,MOTOCICLETAS/SIMILARES,I/VMOTO VS1
0000032ON,JTZ,MOTOCICLETAS/SIMILARES,JTZ/MASTER RIDE 150
0000034ON,WUXI,MOTOCICLETAS/SIMILARES,I/WUXI STANFORD VINTAGE
0000040ON,AIMA,MOTOCICLETAS/SIMILARES,I/AIMA VOLTZ EV01 SPORT
0000041ON,HONDA,MOTOCICLETAS/SIMILARES,I/HONDA FORZA 350
0000042ON,VOLTZ,MOTOCICLETAS/SIMILARES,I/TAILG VOLTZ EVS CARGO
0000046ON,MOTORINO,MOTOCICLETAS/SIMILARES,MOTORINO/150 CAPPUCCINO
0000051ON,ROYAL ENFIELD,MOTOCICLETAS/SIMILARES,I/ROYAL ENFIELD METEOR
0000055ON,XILI,MOTOCICLETAS/SIMILARES,I/XILI SUPER CARGO CAB01
0000056ON,XILI,MOTOCICLETAS/SIMILARES,I/XILI TUK TUK 01
0000060ON,AMAZON,MOTOCICLETAS/SIMILARES,AMAZON/SUPERLET SUPERLET
0000065ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/ELITE 125 REALTECH
0000067ON,FABRICANTES DIVERSOS,MOTOCICLETAS/SIMILARES,I/WUXISAICHI SC MONSTER
0000068ON,AMAZON,MOTOCICLETAS/SIMILARES,AMAZON/AMZ150 CARGO
0000076ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/BIZ VAGUINHO TC125
0000077ON,HONDA,MOTOCICLETAS/SIMILARES,I/HONDA NC 750X DCT
0000080ON,SHINERAY,MOTOCICLETAS/SIMILARES,SHINERAY/PT4
0000081ON,SHINERAY,MOTOCICLETAS/SIMILARES,SHINERAY/PT3
0000082ON,SHINERAY,MOTOCICLETAS/SIMILARES,SHINERAY/PT2
0000084ON,WIZTEM,MOTOCICLETAS/SIMILARES,I/WIZTEM ES8007
0000085ON,ZUBOO,MOTOCICLETAS/SIMILARES,I/ZUBOO XIAO KE
0000089ON,ROYAL ENFIELD,MOTOCICLETAS/SIMILARES,I/ROYAL ENFIELD METEOR F
0000100ON,ROYAL ENFIELD,MOTOCICLETAS/SIMILARES,I/ROYAL ENFIELD METEOR E
0000101DN,ROYAL ENFIELD,MOTOCICLETAS/SIMILARES,I/ROYAL ENFIELD METEOR S
0000101ON,ROYAL ENFIELD,MOTOCICLETAS/SIMILARES,I/ROYAL ENFIELD METEOR S
0000116ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/CB 1000R BLACK ED
0000118ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/TRIDENT
0000119ON,LUQI,MOTOCICLETAS/SIMILARES,I/LUQI HL 6.0S
0000120ON,FABRICANTES DIVERSOS,MOTOCICLETAS/SIMILARES,I/LUQI HL 3.0
0000121ON,DUCATI,MOTOCICLETAS/SIMILARES,DUCATI/STREETFIGHTERV4 S
0000122ON,KTM,MOTOCICLETAS/SIMILARES,I/KTM 890 FACTORY
0000123ON,KTM,MOTOCICLETAS/SIMILARES,I/KTM 890 FACTORY R
0000125ON,YAMAHA,MOTOCICLETAS/SIMILARES,YAMAHA/YZF R3 WGP 60TH
0000127ON,YAMAHA,MOTOCICLETAS/SIMILARES,YAMAHA/CROSSER Z ABS
0000128ON,YAMAHA,MOTOCICLETAS/SIMILARES,YAMAHA/CROSSER S ABS
0000130ON,YAMAHA,MOTOCICLETAS/SIMILARES,YAMAHA/FLUO 125
0000132ON,KAWASAKI,MOTOCICLETAS/SIMILARES,KAWASAKI/Z900 RS R
0000136ON,DUCATI,MOTOCICLETAS/SIMILARES,DUCATI/MULTISTRADA V4 S
0000137ON,DAFRA,MOTOCICLETAS/SIMILARES,DAFRA/NH 300 ABS
0000144ON,FABRICANTES DIVERSOS,MOTOCICLETAS/SIMILARES,I/NIU NQI GTS
0000146ON,HONDA,MOTOCICLETAS/SIMILARES,I/HONDA GL1800 GOLDW TRI
0000147ON,HARLEY DAVIDSON,MOTOCICLETAS/SIMILARES,HARLEYDAVIDSON/FLHTK TRI
0000152ON,FABRICANTES DIVERSOS,MOTOCICLETAS/SIMILARES,I/GCX S8
0000156ON,BMW,MOTOCICLETAS/SIMILARES,I/BMW R 18 PURE
0000158ON,ROTOM,MOTOCICLETAS/SIMILARES,I/ROTOM GYD2000 W125
0000163ON,GCX,MOTOCICLETAS/SIMILARES,I/GCX S9
0000172ON,KAWASAKI,MOTOCICLETAS/SIMILARES,KAWASAKI/Z900 R EDITION
0000173ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/SPEED TWIN
0000175ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/SCRAMBLER 1200XE
0000176ON,KAWASAKI,MOTOCICLETAS/SIMILARES,KAWASAKI/VERSYS 650
0000177ON,KAWASAKI,MOTOCICLETAS/SIMILARES,KAWASAKI/VERSYS 650 TR
0000186ON,BAJAJ,MOTOCICLETAS/SIMILARES,BAJAJ/DOMINAR D160
0000189ON,HUSQVARNA,MOTOCICLETAS/SIMILARES,I/HUSQVARNA NORDEN 901
0000190ON,SUZUKI,MOTOCICLETAS/SIMILARES,SUZUKI/GSX1300 RRQ
0000191ON,KAWASAKI,MOTOCICLETAS/SIMILARES,KAWASAKI/Z650 RS
0000193ON,HUSQVARNA,MOTOCICLETAS/SIMILARES,I/HUSQVARNA NORDEN 901
0000199ON,AGRALE,MOTOCICLETAS/SIMILARES,AGRALE/AGRALE
0000202ON,SHINERAY,MOTOCICLETAS/SIMILARES,SHINERAY/SHE3000
0000204ON,BAJAJ,MOTOCICLETAS/SIMILARES,BAJAJ/DOMINAR D200
0000211ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/SPEEDMASTER
0000213ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/TIGER 1200 GT EX
0000214ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/TIGER 1200 RA EX
0000215ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/TIGER 1200 RA PR
0000218ON,YAMAHA,MOTOCICLETAS/SIMILARES,YAMAHA/NMAX 160 SE
0000225ON,MORE,MOTOCICLETAS/SIMILARES,I/MORE RAN FLY08
0000226ON,VOLTZ,MOTOCICLETAS/SIMILARES,VOLTZ/EVS
0000227ON,VOLTZ,MOTOCICLETAS/SIMILARES,VOLTZ/EV1 SPORT
0000233ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/PCX 160 DLX ABS
0000234ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/PCX 160 ABS
0000235ON,MANGOSTEEN,MOTOCICLETAS/SIMILARES,I/MANGOSTEEN GLOOV V1
0000239ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/PCX 160
0000243ON,FABRICANTES DIVERSOS,MOTOCICLETAS/SIMILARES,I/NIU UQI GT
0000245ON,MOTTUS,MOTOCICLETAS/SIMILARES,MOTTU/SPORT 110I
0000247ON,HARLEY DAVIDSON,MOTOCICLETAS/SIMILARES,HARLEY-DAVIDSON/FLTRKSE
0000249ON,DUCATI,MOTOCICLETAS/SIMILARES,DUCATI/MONSTER
0000250ON,TAILING,MOTOCICLETAS/SIMILARES,I/TAILING K22
0000274ON,JTZ,MOTOCICLETAS/SIMILARES,JTZ/DK160
0000284ON,ROYAL ENFIELD,MOTOCICLETAS/SIMILARES,I/RE CLASSIC 350
0000289ON,ROYAL ENFIELD,MOTOCICLETAS/SIMILARES,I/RE HIMALAYAN
0000290ON,HARLEY DAVIDSON,MOTOCICLETAS/SIMILARES,HARLEY-DAVIDSON/RA1250 S
0000291ON,BAJAJ,MOTOCICLETAS/SIMILARES,BAJAJ/DOMINAR D400 T
0000293ON,SHANSU,MOTOCICLETAS/SIMILARES,I/SHANSU CP-3.1
